5+5,10
1+1,2
8+3,11
1+2,3
8+6,14
3+1,4
1+4,5
5+1,6
2+3,5
3+3,6
2+4,6
5+2,7
7+4,11
9+1,10
6+5,11
4+4,8
3+6,9
2+5,7
8+2,10
7+3,10
9+2,11
4+7,11
6+6,12
3+4,7
1+6,7
2+2,4
5+4,9
7+5,12
8+1,9
6+3,9
2+6,8
4+3,7
7*3,21
12-5,7
8/2,4
9+4-3,10
6*2,12
14/7,2
10-2,8
5+3*2,11
16/4+2,6
7-3+1,5
8*2-4,12
12/3*2,8
15-5/5,14
9+3/3,10
6*3+2,20
18/6-1,2
4*5/2,10
10-6*1,4
7+5-2,10
8/2*3,12
14*2,28
8+9,17
15/3,5
18-5,13
7*3,21
20/4,5
13+7,20
12-8,4
6*6,36
14/7,2
9+5,14
8*4,32
19-3,16
16/4,4
10+10,20
14-7,7
12*2,24
18/6,3
11+9,20
15-5,10
10*2,20
8/2,4
13+3,16
7-3,4
9*4,36
20/5,4
14+6,20
18-8,10
6*3,18
16/8,2
11+7,18
10-4,6
12*4,48
15/3,5
17+3,20
9-7,2
10*5,50
14/2,7
16+2,18
12-6,6
8*2,16
20/10,2
13+5,18
7-1,6
14*3,42
15/5,3
18+1,19
16-9,7
9*2,18
20/4,5
10+9,19
12-3,9
8*3,24
18/6,3
11+8,19
13-4,9
14*2,28
16/8,2
10+5,15
7-2,5
12*3,36
20/5,4
15+3,18
14-7,7
9*3,27
18/3,6
11+6,17
10-5,5
8*4,32
16/4,4
13+2,15
9-1,8
14*1,14
15/3,5
17+1,18
7-6,1
10*4,40
18/2,9
16+3,19
12-2,10
8*5,40
20/2,10
13+7,20
14-8,6
12*1,12
18/9,2
9+4,13
10-3,7
14*2,28
15/5,3
11+8,19
16-7,9
9*2,18
20/10,2
12+6,18
7-4,3
10*3,30
18/6,3
14+5,19
13-3,10
18+2,20
10-3,7
14*1,14
15/5,3
17+1,18
7-6,1
10*4,40
18/2,9
16+3,19
12-2,10
8*5,40
20/2,10
13+7,20
14-8,6
12*1,12
18/9,2
9+4,13
10-3,7
14*2,28
15/5,3
11+8,19
16-7,9
9*2,18
20/10,2
12+6,18
7-4,3
10*3,30
18/6,3
14+5,19
13-3,10
8*4,32
15/3,5
17+2,19
11-1,10
10*6,60
20/5,4
14+4,18
12-6,6
8*3,24
18/3,6
11+9,20
15-5,10
14*1,14
16/4,4
10+7,17
9-2,7
12*2,24
18/9,2
13+4,17
10-6,4
8*5,40
20/2,10
17+3,20
14-9,5
10*3,30
16/8,2
11+7,18
15-3,12
9*4,36
12/6,2
14+2,16
18-10,8
8*3,24
20/4,5
13+6,19
7-1,6
12*3,36
14/2,7
17+1,18
9-5,4
10*2,20
16/4,4
15+3,18
18-7,11
14*3,42
20/5,4
11+5,16
13-2,11
9*3,27
18/6,3
16+4,20
10-3,7
12*1,12
15/5,3
17+2,19
8-7,1
14*4,56
20/10,2
13+5,18
14-6,8
9*2,18
16/8,2
15+4,19
18-5,13
10*3,30
12/4,3
11+7,18
13-1,12
14*2,28
20/2,10
5 + 6, 11
7 - 3, 4
9 * 2, 18
12 / 3, 4
8 + 7, 15
15 - 8, 7
4 * 5, 20
18 / 6, 3
11 + 2, 13
14 - 7, 7
